|¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯|
X185PC weights:
(CF: 30002996[0] - FG: 30002996): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 166.67, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 834166666666.67 

(CF: 30000705[0] - FG: 50008192): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 1000.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 5005000000000.00 

(CF: 30000352[0] - FG: 50008229): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 500.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 2502500000000.00 

(CF: 30000621[0] - FG: 50008204): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 100000.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 500500000000000.00 

(CF: 30000390[0] - FG: 50008181): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 166.67, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 834166666666.67 

(CF: 30000389[0] - FG: 50008183): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 500.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 2502500000000.00 

(CF: 30000353[0] - FG: 50008210): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 250.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 1251250000000.00 

(CF: 30000396[0] - FG: 50008224): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 166.67, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 834166666666.67 

(CF: 30000705[0] - FG: 50008194): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 1000.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 5005000000000.00 

(CF: 30000623[0] - FG: 50008208): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 1000.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 5005000000000.00 

(CF: 30004000[0] - FG: 30004000): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 200.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 1001000000000.00 

(CF: 30003308[0] - FG: 50009170): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 100000.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 500500000000000.00 

(CF: 30003170[0] - FG: 50008977): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 200.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 1001000000000.00 

(CF: 30000622[0] - FG: 50008177): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 1000.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 5005000000000.00 

(CF: 30000655[0] - FG: 50008167): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 166.67, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 834166666666.67 

(CF: 30003004[0] - FG: 50008656): initial 1.00, in plant 1.00, location 1.00, neighbours 250.00, due date 500.00, change over 1.00, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 19.53, block extrusion 1001.00, total 2572471217.11 

Extruder X185PC picked CF: 30000621[0] of FG: 50008204 on date Thu Jul 01 00:01:00 ART 2021
|________________________________________________________________________________________________________________________| 

|¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯|
X185PC weights:
(CF: 30000636[0] - FG: 50008198): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 500.00, change over 4.44, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 11122222222222.23 

(CF: 30003308[0] - FG: 50009170): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 100000.00, change over 4.44, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 2224444444444444.50 

(CF: 30000655[0] - FG: 50008167): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 166.67, change over 2.50, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 2085416666666.67 

(CF: 30000396[0] - FG: 50008222): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 166.67, change over 2.50, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 2085416666666.67 

(CF: 30003004[0] - FG: 50008654): initial 1.00, in plant 1.00, location 1.00, neighbours 250.00, due date 500.00, change over 2.50, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 19.53, block extrusion 1001.00, total 6431178042.76 

(CF: 30000352[0] - FG: 50008229): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 500.00, change over 2.50, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 6256250000000.00 

(CF: 30003170[0] - FG: 50008976): initial 1.00, in plant 1.00, location 1.00, neighbours 1000.00, due date 200.00, change over 2.50, space 1.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1001.00, total 2502500000000.00 

