,WorkOrderNumber,Facility,OrderStatus,ItemNumber,PlannedQuantity,CompletedQuantity,PlannedStart,PlannedEnd,PONumber,Description,CategoryCode,ItemWeight,Demand quantity (pounds),ItemFacility,BalesPerPallet,in_breakout,Model plant,_merge,is_able
2175,SON21007783,20005,1,50006580,896.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241009,BBC WILD CKN WG PUPPY 11#,FG,11.0,9856.0,20005,128.0,True,PC,both,False
2176,SON21007783,20005,1,50006581,1200.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241009,BBC WILD CKN WG PUPPY 24#,FG,24.0,28800.0,20005,60.0,True,PC,both,False
2177,SON21007783,20005,1,50006585,294.0,0.0,2021-11-12T00:00:00,2021-11-12T00:00:00,4500241009,BBC WILD SB CKN WG DOG 3/4.5#,FG,13.5,3969.0,20005,98.0,True,PC,both,False
2211,SON21007890,20005,1,50009555,294.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241301,BBC WILD AD CKN DOG 3/4.5LB,FG,13.5,3969.0,,0.0,True,PC,both,False
2212,SON21007890,20005,1,50009556,768.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241301,BBC BB W CKN GRAIN DOG 11#,FG,11.0,8448.0,,0.0,True,PC,both,False
2213,SON21007890,20005,1,50009449,1800.0,0.0,2021-11-27T00:00:00,2021-11-27T00:00:00,4500241301,BBC BB W CKN GRAIN DOG 24#,FG,24.0,43200.0,,0.0,True,PC,both,False
2214,SON21007890,20005,1,50009557,294.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241301,BBC BB W SLM GRAIN DOG 3/4.5#,FG,13.5,3969.0,,0.0,True,PC,both,False
2215,SON21007890,20005,1,50009450,1080.0,0.0,2021-11-27T00:00:00,2021-11-27T00:00:00,4500241301,BBC BB W SLM GRAIN DOG 24#,FG,24.0,25920.0,,0.0,True,PC,both,False
2216,SON21007890,20005,1,50006580,896.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241301,BBC WILD CKN WG PUPPY 11#,FG,11.0,9856.0,20005,128.0,True,PC,both,False
2217,SON21007890,20005,1,50006581,960.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241301,BBC WILD CKN WG PUPPY 24#,FG,24.0,23040.0,20005,60.0,True,PC,both,False
2219,SON21007891,20005,1,50009555,294.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241302,BBC WILD AD CKN DOG 3/4.5LB,FG,13.5,3969.0,,0.0,True,PC,both,False
2220,SON21007891,20005,1,50009556,640.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241302,BBC BB W CKN GRAIN DOG 11#,FG,11.0,7040.0,,0.0,True,PC,both,False
2221,SON21007891,20005,1,50009449,2400.0,0.0,2021-11-27T00:00:00,2021-11-27T00:00:00,4500241302,BBC BB W CKN GRAIN DOG 24#,FG,24.0,57600.0,,0.0,True,PC,both,False
2222,SON21007891,20005,1,50009557,294.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241302,BBC BB W SLM GRAIN DOG 3/4.5#,FG,13.5,3969.0,,0.0,True,PC,both,False
2223,SON21007891,20005,1,50009450,1200.0,0.0,2021-11-27T00:00:00,2021-11-27T00:00:00,4500241302,BBC BB W SLM GRAIN DOG 24#,FG,24.0,28800.0,,0.0,True,PC,both,False
2224,SON21007891,20005,1,50006580,640.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241302,BBC WILD CKN WG PUPPY 11#,FG,11.0,7040.0,20005,128.0,True,PC,both,False
2225,SON21007891,20005,1,50006581,1140.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241302,BBC WILD CKN WG PUPPY 24#,FG,24.0,27360.0,20005,60.0,True,PC,both,False
2226,SON21007891,20005,1,50006585,784.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241302,BBC WILD SB CKN WG DOG 3/4.5#,FG,13.5,10584.0,20005,98.0,True,PC,both,False
2227,SON21007892,20005,1,50009555,294.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241303,BBC WILD AD CKN DOG 3/4.5LB,FG,13.5,3969.0,,0.0,True,PC,both,False
2228,SON21007892,20005,1,50009556,896.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241303,BBC BB W CKN GRAIN DOG 11#,FG,11.0,9856.0,,0.0,True,PC,both,False
2229,SON21007892,20005,1,50009449,3240.0,0.0,2021-11-01T00:00:00,2021-11-01T00:00:00,4500241303,BBC BB W CKN GRAIN DOG 24#,FG,24.0,77760.0,,0.0,True,PC,both,False
2230,SON21007892,20005,1,50009557,196.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241303,BBC BB W SLM GRAIN DOG 3/4.5#,FG,13.5,2646.0,,0.0,True,PC,both,False
2231,SON21007892,20005,1,50009450,1500.0,0.0,2021-11-01T00:00:00,2021-11-01T00:00:00,4500241303,BBC BB W SLM GRAIN DOG 24#,FG,24.0,36000.0,,0.0,True,PC,both,False
2232,SON21007892,20005,1,50006580,1280.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241303,BBC WILD CKN WG PUPPY 11#,FG,11.0,14080.0,20005,128.0,True,PC,both,False
2233,SON21007892,20005,1,50006581,1680.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241303,BBC WILD CKN WG PUPPY 24#,FG,24.0,40320.0,20005,60.0,True,PC,both,False
2234,SON21007892,20005,1,50006585,784.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241303,BBC WILD SB CKN WG DOG 3/4.5#,FG,13.5,10584.0,20005,98.0,True,PC,both,False
2235,SON21007893,20005,1,50009555,294.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241304,BBC WILD AD CKN DOG 3/4.5LB,FG,13.5,3969.0,,0.0,True,PC,both,False
2236,SON21007893,20005,1,50009556,768.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241304,BBC BB W CKN GRAIN DOG 11#,FG,11.0,8448.0,,0.0,True,PC,both,False
2237,SON21007893,20005,1,50009449,2640.0,0.0,2021-11-27T00:00:00,2021-11-27T00:00:00,4500241304,BBC BB W CKN GRAIN DOG 24#,FG,24.0,63360.0,,0.0,True,PC,both,False
2238,SON21007893,20005,1,50009557,294.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241304,BBC BB W SLM GRAIN DOG 3/4.5#,FG,13.5,3969.0,,0.0,True,PC,both,False
2239,SON21007893,20005,1,50009450,1320.0,0.0,2021-11-27T00:00:00,2021-11-27T00:00:00,4500241304,BBC BB W SLM GRAIN DOG 24#,FG,24.0,31680.0,,0.0,True,PC,both,False
2240,SON21007893,20005,1,50006580,896.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241304,BBC WILD CKN WG PUPPY 11#,FG,11.0,9856.0,20005,128.0,True,PC,both,False
2241,SON21007893,20005,1,50006581,1260.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241304,BBC WILD CKN WG PUPPY 24#,FG,24.0,30240.0,20005,60.0,True,PC,both,False
2242,SON21007893,20005,1,50006585,784.0,0.0,2021-11-08T00:00:00,2021-11-08T00:00:00,4500241304,BBC WILD SB CKN WG DOG 3/4.5#,FG,13.5,10584.0,20005,98.0,True,PC,both,False
2292,SON21008157,20005,1,50008146,660.0,0.0,2021-12-20T00:00:00,2021-12-20T00:00:00,192177,NLE DIST GF FOWL DOG 24#,FG,24.0,15840.0,20005,75.0,True,PC,both,False
2296,SON21005127,20005,1,50009162,70.0,0.0,2021-10-01T00:00:00,2021-10-01T00:00:00,32019,NVI INS GF BEEF DOG 20#,FG,20.0,1400.0,20005,1.0,True,PC,both,False
2398,SON21005185,20005,1,50008146,683.0,0.0,2021-11-19T00:00:00,2021-11-19T00:00:00,192140,NLE DIST GF FOWL DOG 24#,FG,24.0,16392.0,20005,75.0,True,PC,both,False
2399,SON21005185,20005,1,50008152,440.0,0.0,2021-11-19T00:00:00,2021-11-19T00:00:00,192140,NLE DIST GF LS BEEF K9 5/4.4#,FG,22.0,9680.0,20005,45.0,True,PC,both,False
2400,SON21005185,20005,1,50008154,1264.0,0.0,2021-11-19T00:00:00,2021-11-19T00:00:00,192140,NLE DIST GF L S BEEF K9 24#,FG,24.0,30336.0,20005,75.0,True,PC,both,False
2418,SOE21007405,20005,1,50000394,175.0,0.0,2021-09-23T00:00:00,2021-09-23T00:00:00,633367,PVI PU GF LB TRKY PUPPY 26#,FG,26.0,4550.0,20005,35.0,True,PC,both,False
2419,SOE21007405,20005,1,50000370,672.0,504.0,2021-10-20T00:00:00,2021-10-20T00:00:00,633367,PVI PU GF FH BEEF DOG 3/5#,FG,15.0,2520.0,20005,42.0,True,PC,both,False
2661,SON21005127,20005,1,50009588,80.0,0.0,2021-10-11T00:00:00,2021-10-11T00:00:00,32019,NVI SR CHICKEN 40#,FG,40.0,3200.0,,0.0,True,PC,both,False
3149,SON21008966,20005,1,50008160,450.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH LW GF SALM DOG 6/4#,FG,24.0,10800.0,20005,36.0,True,PC,both,False
3184,SON21008966,20005,1,50008161,9000.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH LW GF SALM DOG 22#,FG,22.0,198000.0,20005,40.0,True,PC,both,False
3185,SON21008966,20005,1,50008162,150.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH FIT FAB POLLOCK DOG 6/4#,FG,24.0,3600.0,20005,36.0,True,PC,both,False
3186,SON21008966,20005,1,50008163,3500.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH FIT FAB POLLOCK DOG 24#,FG,24.0,84000.0,20005,40.0,True,PC,both,False
3187,SON21008966,20005,1,50008980,100.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH NB HNF CKN DOG 6/4#,FG,24.0,2400.0,20005,36.0,True,PC,both,False
3188,SON21008966,20005,1,50008981,2000.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH NB HNF CKN DOG 24#,FG,24.0,48000.0,20005,40.0,True,PC,both,False
3189,SON21008966,20005,1,50008167,300.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF FIT FAB CKN DOG 6/4#,FG,24.0,7200.0,20005,36.0,True,PC,both,False
3190,SON21008966,20005,1,50008168,4200.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF FIT FAB CKN DOG 24#,FG,24.0,100800.0,20005,40.0,True,PC,both,False
3191,SON21008966,20005,1,50008169,500.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF YAH SR CKN DOG 6/4#,FG,24.0,12000.0,20005,36.0,True,PC,both,False
3192,SON21008966,20005,1,50008170,1600.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH GF YAH SR CKN DOG 24#,FG,24.0,38400.0,20005,40.0,True,PC,both,False
3193,SON21008966,20005,1,50008171,1000.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH LAFB GF CKN PUPPY 6/4#,FG,24.0,24000.0,20005,36.0,True,PC,both,False
3194,SON21008966,20005,1,50008172,2400.0,0.0,2021-11-15T00:00:00,2021-11-15T00:00:00,13503,SGH LAFB GF CKN PUPPY 24#,FG,24.0,57600.0,20005,40.0,True,PC,both,False
