,WorkOrderNumber,Facility,OrderStatus,ItemNumber,PlannedQuantity,CompletedQuantity,PlannedStart,PlannedEnd,PONumber,Description,CategoryCode,ItemWeight,Demand quantity (pounds),ItemFacility,BalesPerPallet,in_breakout,Model plant,_merge,is_able
3259,SOE21007406,20005,1,50000391,182.0,0.0,2021-10-20T00:00:00,2021-10-20T00:00:00,633368,PVI PU LAMB RICE PUP 3/5.5#,FG,16.5,3003.0,20005,42.0,True,PC,both,False
3260,SOE21007406,20005,1,50000372,408.0,0.0,2021-10-20T00:00:00,2021-10-20T00:00:00,633368,PVI PU GF FH BEEF DOG 26#,FG,26.0,10608.0,20005,35.0,True,PC,both,False
3261,SOE21007406,20005,1,50000378,1134.0,0.0,2021-10-20T00:00:00,2021-10-20T00:00:00,633368,PVI PU GF ORI SB TRKY DOG 3/5#,FG,15.0,17010.0,20005,42.0,True,PC,both,False
3262,SOE21007408,20005,1,50000371,63.0,0.0,2021-10-13T00:00:00,2021-10-13T00:00:00,633370,PVI PU GF FH BEEF DOG 13.2#,FG,13.2,832.0,20005,63.0,True,PC,both,False
3263,SOE21007408,20005,1,50000393,63.0,0.0,2021-10-13T00:00:00,2021-10-13T00:00:00,633370,PVI PU GF LB TRKY PUPPY 13.2#,FG,13.2,832.0,20005,63.0,True,PC,both,False
3264,SOE21007408,20005,1,50000367,35.0,0.0,2021-10-13T00:00:00,2021-10-13T00:00:00,633370,PVI PU LID CKN DOG 26#,FG,26.0,910.0,20005,35.0,True,PC,both,False
3265,SOE21007408,20005,1,50000377,64.0,0.0,2021-10-13T00:00:00,2021-10-13T00:00:00,633370,PVI PU GF ORIG TRKY DOG 26#,FG,26.0,1664.0,20005,35.0,True,PC,both,False
3266,SOE21007408,20005,1,50000375,126.0,0.0,2021-10-13T00:00:00,2021-10-13T00:00:00,633370,PVI PU GF ORIG TRKY DOG 3/5#,FG,15.0,1890.0,20005,42.0,True,PC,both,False
3267,SOE21007408,20005,1,50000390,112.0,0.0,2021-10-13T00:00:00,2021-10-13T00:00:00,633370,PVI PU GF ORIG TRKY PUP 26#,FG,26.0,2912.0,20005,35.0,True,PC,both,False
3268,SOE21007408,20005,1,50000369,245.0,0.0,2021-10-13T00:00:00,2021-10-13T00:00:00,633370,PVI PU GF FH SMB BEEF K9 13.2#,FG,13.2,3234.0,20005,63.0,True,PC,both,False
3269,SOE21007408,20005,1,50000367,140.0,0.0,2021-10-13T00:00:00,2021-10-13T00:00:00,633370,PVI PU LID CKN DOG 26#,FG,26.0,3640.0,20005,35.0,True,PC,both,False
3270,SOE21007408,20005,1,50000373,259.0,0.0,2021-10-13T00:00:00,2021-10-13T00:00:00,633370,PVI PU LB GF TRKY DOG 13.2#,FG,13.2,3419.0,20005,63.0,True,PC,both,False
3271,SOE21007408,20005,1,50000389,285.0,0.0,2021-10-13T00:00:00,2021-10-13T00:00:00,633370,PVI PU GF ORIG TRKY PUP 13.2#,FG,13.2,3762.0,20005,63.0,True,PC,both,False
3272,SOE21007408,20005,1,50000380,252.0,0.0,2021-10-13T00:00:00,2021-10-13T00:00:00,633370,PVI PU LAMB RICE DOG 3/5.5#,FG,16.5,4158.0,20005,42.0,True,PC,both,False
3439,SON21005127,20005,1,50009572,104.0,0.0,2021-10-11T00:00:00,2021-10-11T00:00:00,32019,NVI LONGEVITY CKN DOG 40#,FG,40.0,4160.0,,0.0,True,PC,both,False
3440,SON21005127,20005,1,50009573,165.0,0.0,2021-10-11T00:00:00,2021-10-11T00:00:00,32019,NVI LONGEVITY CKN CAT 40#,FG,40.0,6600.0,,0.0,True,PC,both,False
