ID,Description,Flour_Code,Type,Shape,Diameter_Category,Dry_Digest_Code,Dry_Digest_Description,Liq_Digest_Code,Liq_Digest_Description,TSS_Concat,DLD_Concat,Buyable,Minimum_Run_Size,Diameter
W20041,CMK ADLT FERRET WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W20371,MER ORG CAT TRT CHKN WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W20109,MER ORG DOG COOKIES CHKN WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W20215,MER ORG DOG COOKIE CHEESE WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W20216,MER ORGANIX DOG COOKIES PB WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1085OS,MEAT MDM BEEF GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1085,MEAT MDM BEEF GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
W20243K,PNP FB CANARY/FNCH YELLOW WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W20244K,PNP FB CANARY/FNCH ORANGE WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W20245K,PNP FB CANARY/FINCH RED WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W20246K,PNP FB CANARY/FINCH GREEN WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1086OS,MEAT MDM RABBIT GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20851,NBP LID LAMB & RICE DOG BULK,F6071,LAMB,DISC,MAX 15.00,0,0,0,0,LAMB - DISC - MAX 15.00,0 - 0,FALSE,40000.0,0
20852,NBP LID L&R SMB BITE BULK,F6071,LAMB,DISC,MAX 10.00,0,0,0,0,LAMB - DISC - MAX 10.00,0 - 0,FALSE,40000.0,0
W20852,NBP LID L&R SMB BITE WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
W20851,NBP LID LAMB & RICE DOG WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20860,NBP LID L&R LGB BITE BULK,F6071,LAMB,DISC,MAX 18.00,0,0,0,0,LAMB - DISC - MAX 18.00,0 - 0,FALSE,40000.0,0
EM1092OS,MEAT SALM TRKY BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
EM1086B,MEAT MDM RABBIT GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,False,0.0,0
W20860,NBP LID L&R LGB BITE WIP,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20881,PNP NATURAL PARAKEET BULK,F7017,MEATLESS,CYLINDER,MAX 2.90,0,0,0,0,MEATLESS - CYLINDER - MAX 2.90,0 - 0,FALSE,20000.0,0
EM1096OS,MEAT RAY TKY/TKY LVR BLND GRND,NONE,0,0,0,0,0,0,0,0 - 0 - 0,0 - 0,FALSE,0.0,0
20885,PNP EMBRACE BULK,F0483,0,0,MAX 10.00,0,0,0,0,0 - 0 - MAX 10.00,0 - 0,FALSE,20000.0,0
20886,PNP EMBRACE PLUS BULK,F0484,0,0,MAX 10.00,0,0,0,0,0 - 0 - MAX 10.00,0 - 0,FALSE,20000.0,0
