Item_Code,Diet_Code,Location,Work_Center,Date,Version,Account,Measure,Entity,Bulk_Code
03706,DIET22243,10,101020,2200-12-31,Actual,Rate,6120.0,CJ_Foods,NONE
03706,DIET22243,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03706,DIET22243,20,206120,2200-12-31,Actual,Rate,6960.0,CJ_Foods,NONE
03805,DIET22243,10,101020,2200-12-31,Actual,Rate,3960.0,CJ_Foods,NONE
03805,DIET22243,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03805,DIET22243,20,206120,2200-12-31,Actual,Rate,5820.0,CJ_Foods,NONE
03867,DIET22586,10,104620,2200-12-31,Actual,Rate,1080.0,CJ_Foods,NONE
03867,DIET22586,20,206020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03867,DIET22586,20,206220,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03874,DIET22586,10,101020,2200-12-31,Actual,Rate,3960.0,CJ_Foods,NONE
03874,DIET22586,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03874,DIET22586,20,205520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03874,DIET22586,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03881,DIET22586,10,101020,2200-12-31,Actual,Rate,6120.0,CJ_Foods,NONE
03881,DIET22586,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03881,DIET22586,20,205520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03881,DIET22586,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03911,DIET23016,20,206020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03911,DIET23016,30,306020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03928,DIET23016,20,205520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03935,DIET23016,20,205520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
03935,DIET23016,20,206120,2200-12-31,Actual,Rate,6720.0,CJ_Foods,NONE
08012,DIETW20109,10,104020,2200-12-31,Actual,Rate,660.0,CJ_Foods,NONE
08112,DIETW20216,10,104020,2200-12-31,Actual,Rate,660.0,CJ_Foods,NONE
08212,DIETW20215,10,104020,2200-12-31,Actual,Rate,660.0,CJ_Foods,NONE
08512,DIETW20371,10,103020,2200-12-31,Actual,Rate,240.0,CJ_Foods,NONE
100037110,DIETW20041,10,104620,2200-12-31,Actual,Rate,2040.0,CJ_Foods,NONE
1000393,DIET22733,10,104620,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000393,DIET22733,20,206020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000393,DIET22733,20,206220,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000393,DIET22733,30,306020,2200-12-31,Actual,Rate,7740.0,CJ_Foods,NONE
1000393,DIET22733,40,406020,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000394,DIET22733,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000394,DIET22733,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000394,DIET22733,20,205520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000394,DIET22733,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000394,DIET22733,30,305520,2200-12-31,Actual,Rate,11880.0,CJ_Foods,NONE
1000394,DIET22733,40,404920,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000395,DIET22733,10,101020,2200-12-31,Actual,Rate,0.0,CJ_Foods,NONE
1000395,DIET22733,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000395,DIET22733,20,205520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000395,DIET22733,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000395,DIET22733,30,305520,2200-12-31,Actual,Rate,20280.0,CJ_Foods,NONE
1000395,DIET22733,40,404920,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000397,DIET22735,30,306020,2200-12-31,Actual,Rate,8760.0,CJ_Foods,NONE
1000397,DIET22735,40,406020,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000398,DIET22735,30,305520,2200-12-31,Actual,Rate,7860.0,CJ_Foods,NONE
1000398,DIET22735,40,404920,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000400,DIET22734,30,306020,2200-12-31,Actual,Rate,7320.0,CJ_Foods,NONE
1000400,DIET22734,40,406020,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000401,DIET22734,30,305520,2200-12-31,Actual,Rate,9000.0,CJ_Foods,NONE
1000401,DIET22734,40,404920,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000402,DIET22734,30,305520,2200-12-31,Actual,Rate,23580.0,CJ_Foods,NONE
1000402,DIET22734,40,404920,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000404,DIET22732,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000404,DIET22732,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000404,DIET22732,20,205520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000404,DIET22732,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000404,DIET22732,30,305520,2200-12-31,Actual,Rate,9060.0,CJ_Foods,NONE
1000404,DIET22732,40,404920,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000405,DIET22732,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000405,DIET22732,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000405,DIET22732,20,205520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000405,DIET22732,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000405,DIET22732,30,305520,2200-12-31,Actual,Rate,20640.0,CJ_Foods,NONE
1000405,DIET22732,40,404920,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000407,DIET22762,30,306020,2200-12-31,Actual,Rate,8040.0,CJ_Foods,NONE
1000408,DIET22762,30,305520,2200-12-31,Actual,Rate,8460.0,CJ_Foods,NONE
1000409,DIET22762,30,305520,2200-12-31,Actual,Rate,24660.0,CJ_Foods,NONE
1000411,DIET22763,30,306020,2200-12-31,Actual,Rate,7740.0,CJ_Foods,NONE
1000412,DIET22763,30,305520,2200-12-31,Actual,Rate,10200.0,CJ_Foods,NONE
1000414,DIET22760,10,104620,2200-12-31,Actual,Rate,2640.0,CJ_Foods,NONE
1000414,DIET22760,20,206020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000414,DIET22760,20,206220,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000414,DIET22760,30,306020,2200-12-31,Actual,Rate,7260.0,CJ_Foods,NONE
1000414,DIET22760,40,406020,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000415,DIET22760,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000415,DIET22760,20,205520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000415,DIET22760,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000415,DIET22760,30,305520,2200-12-31,Actual,Rate,13680.0,CJ_Foods,NONE
1000415,DIET22760,40,404920,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000416,DIET22760,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000416,DIET22760,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000416,DIET22760,20,205520,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000416,DIET22760,20,206120,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000416,DIET22760,30,305520,2200-12-31,Actual,Rate,20940.0,CJ_Foods,NONE
1000416,DIET22760,40,404920,2200-12-31,Actual,Rate,4500.0,CJ_Foods,NONE
1000418,DIET22761,30,306020,2200-12-31,Actual,Rate,18150.0,CJ_Foods,NONE
1000419,DIET22761,30,305520,2200-12-31,Actual,Rate,22308.0,CJ_Foods,NONE
1000421,DIET22930,10,104620,2200-12-31,Actual,Rate,2400.0,CJ_Foods,NONE
1000421,DIET22930,30,306020,2200-12-31,Actual,Rate,6420.0,CJ_Foods,NONE
1000422,DIET22930,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000422,DIET22930,30,305520,2200-12-31,Actual,Rate,13980.0,CJ_Foods,NONE
1000423,DIET22930,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000423,DIET22930,30,305520,2200-12-31,Actual,Rate,23880.0,CJ_Foods,NONE
1000437,DIET22873,30,306020,2200-12-31,Actual,Rate,7860.0,CJ_Foods,NONE
1000438,DIET22873,30,305520,2200-12-31,Actual,Rate,8160.0,CJ_Foods,NONE
1000439,DIET22873,10,101020,2200-12-31,Actual,Rate,12480.0,CJ_Foods,NONE
1000439,DIET22873,10,104820,2200-12-31,Actual,Rate,12480.0,CJ_Foods,NONE
1000439,DIET22873,30,305520,2200-12-31,Actual,Rate,21600.0,CJ_Foods,NONE
1000441,DIET22779,10,104620,2200-12-31,Actual,Rate,2640.0,CJ_Foods,NONE
1000441,DIET22779,30,306020,2200-12-31,Actual,Rate,5940.0,CJ_Foods,NONE
1000442,DIET22779,10,101020,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000442,DIET22779,10,104820,2200-12-31,Actual,Rate,12000.0,CJ_Foods,NONE
1000442,DIET22779,30,305520,2200-12-31,Actual,Rate,12840.0,CJ_Foods,NONE
1000457,DIET22780,30,305520,2200-12-31,Actual,Rate,12900.0,CJ_Foods,NONE
1000458,DIET22780,30,305520,2200-12-31,Actual,Rate,25680.0,CJ_Foods,NONE
101002,DIET23024,20,206020,2200-12-31,Actual,Rate,4920.0,CJ_Foods,NONE
101004,DIET23024,20,205520,2200-12-31,Actual,Rate,5400.0,CJ_Foods,NONE
101004,DIET23024,20,205720,2200-12-31,Actual,Rate,0.0,CJ_Foods,NONE
101005,DIET23024,20,205520,2200-12-31,Actual,Rate,23160.0,CJ_Foods,NONE
101005,DIET23024,20,205720,2200-12-31,Actual,Rate,13260.0,CJ_Foods,NONE
101006,DIET23024,20,205720,2200-12-31,Actual,Rate,11520.0,CJ_Foods,NONE
101008,DIET23025,20,205520,2200-12-31,Actual,Rate,12150.0,CJ_Foods,NONE
101008,DIET23025,20,205720,2200-12-31,Actual,Rate,12150.0,CJ_Foods,NONE
101009,DIET23025,20,205520,2200-12-31,Actual,Rate,16800.0,CJ_Foods,NONE
101009,DIET23025,20,205720,2200-12-31,Actual,Rate,18420.0,CJ_Foods,NONE
101012,DIET23035,20,206020,2200-12-31,Actual,Rate,7260.0,CJ_Foods,NONE
101013,DIET23035,20,205520,2200-12-31,Actual,Rate,8220.0,CJ_Foods,NONE
101013,DIET23035,20,205720,2200-12-31,Actual,Rate,11040.0,CJ_Foods,NONE
101014,DIET23035,20,205520,2200-12-31,Actual,Rate,660.0,CJ_Foods,NONE
101014,DIET23035,20,205720,2200-12-31,Actual,Rate,0.0,CJ_Foods,NONE
101015,DIET23035,20,205720,2200-12-31,Actual,Rate,28800.0,CJ_Foods,NONE
101016,DIET23026,20,205520,2200-12-31,Actual,Rate,11460.0,CJ_Foods,NONE
101016,DIET23026,20,205720,2200-12-31,Actual,Rate,12150.0,CJ_Foods,NONE
101017,DIET23026,20,205520,2200-12-31,Actual,Rate,7980.0,CJ_Foods,NONE
101017,DIET23026,20,205720,2200-12-31,Actual,Rate,8460.0,CJ_Foods,NONE
101020,DIET23027,20,206020,2200-12-31,Actual,Rate,6120.0,CJ_Foods,NONE
101021,DIET23027,20,205520,2200-12-31,Actual,Rate,13260.0,CJ_Foods,NONE
101021,DIET23027,20,205720,2200-12-31,Actual,Rate,12150.0,CJ_Foods,NONE
101022,DIET23027,20,205520,2200-12-31,Actual,Rate,24420.0,CJ_Foods,NONE
101022,DIET23027,20,205720,2200-12-31,Actual,Rate,15360.0,CJ_Foods,NONE
101023,DIET23027,20,205720,2200-12-31,Actual,Rate,28800.0,CJ_Foods,NONE
101024,DIET23028,20,206020,2200-12-31,Actual,Rate,1200.0,CJ_Foods,NONE
101025,DIET23028,20,205520,2200-12-31,Actual,Rate,480.0,CJ_Foods,NONE
101025,DIET23028,20,205720,2200-12-31,Actual,Rate,12150.0,CJ_Foods,NONE
101026,DIET23028,20,205520,2200-12-31,Actual,Rate,63420.0,CJ_Foods,NONE
101026,DIET23028,20,205720,2200-12-31,Actual,Rate,6960.0,CJ_Foods,NONE
101027,DIET23030,20,206020,2200-12-31,Actual,Rate,4380.0,CJ_Foods,NONE
101028,DIET23030,20,205520,2200-12-31,Actual,Rate,12150.0,CJ_Foods,NONE
101028,DIET23030,20,205720,2200-12-31,Actual,Rate,12150.0,CJ_Foods,NONE
101029,DIET23030,20,205520,2200-12-31,Actual,Rate,19620.0,CJ_Foods,NONE
